;periodo;centro_sul;medio_norte;nordeste;noroeste;norte;oeste;sudeste;mato_grosso;dia;mes;ano;arquivo;nrmes
1;11-jan-19;5.09;6.21;2.29;3.90;3.60;9.14;6.60;5.62;11;jan;19;./arquivos_soja_manual/9dac8136-406c-11eb-9488-00051663a5c6.pdf;01
2;18-jan-19;9.86;15.29;4.68;10.32;7.00;18.46;12.87;12.33;18;jan;19;./arquivos_soja_manual/9dac8136-406c-11eb-9488-00051663a5c6.pdf;01
3;25-jan-19;17.78;33.36;9.18;20.12;18.61;38.47;25.03;25.61;25;jan;19;./arquivos_soja_manual/9dac8136-406c-11eb-9488-00051663a5c6.pdf;01
4;1-fev-19;32.45;47.79;16.91;29.58;27.13;51.20;35.46;37.38;1;fev;19;./arquivos_soja_manual/9dac8136-406c-11eb-9488-00051663a5c6.pdf;02
5;8-fev-19;46.80;64.21;29.02;46.58;46.70;68.64;52.15;53.23;8;fev;19;./arquivos_soja_manual/9dac8136-406c-11eb-9488-00051663a5c6.pdf;02
6;15-fev-19;64.86;81.26;45.87;64.78;58.28;80.87;64.73;68.76;15;fev;19;./arquivos_soja_manual/9dac8136-406c-11eb-9488-00051663a5c6.pdf;02
7;22-fev-19;79.57;90.68;58.25;82.18;69.72;91.48;76.79;80.33;22;fev;19;./arquivos_soja_manual/9dac8136-406c-11eb-9488-00051663a5c6.pdf;02
8;1-mar-19;85.85;96.16;69.76;89.19;79.72;95.59;85.79;87.71;1;mar;19;./arquivos_soja_manual/9dac8136-406c-11eb-9488-00051663a5c6.pdf;03
9;8-mar-19;93.22;98.60;86.23;95.82;90.42;99.67;94.16;94.85;8;mar;19;./arquivos_soja_manual/9dac8136-406c-11eb-9488-00051663a5c6.pdf;03
10;15-mar-19;96.36;99.56;90.04;97.92;98.28;100.00;97.68;97.22;15;mar;19;./arquivos_soja_manual/9dac8136-406c-11eb-9488-00051663a5c6.pdf;03
11;22-mar-19;98.76;100.00;93.74;100.00;99.00;100.00;99.01;98.61;22;mar;19;./arquivos_soja_manual/9dac8136-406c-11eb-9488-00051663a5c6.pdf;03
12;29-mar-19;100.00;100.00;95.97;100.00;99.30;100.00;99.48;99.18;29;mar;19;./arquivos_soja_manual/9dac8136-406c-11eb-9488-00051663a5c6.pdf;03
13;5-abr-19;100.00;100.00;98.88;100.00;99.60;100.00;99.88;99.77;5;abr;19;./arquivos_soja_manual/9dac8136-406c-11eb-9488-00051663a5c6.pdf;04
14;12-abr-19;100.00;100.00;99.57;100.00;99.80;100.00;100.00;99.92;12;abr;19;./arquivos_soja_manual/9dac8136-406c-11eb-9488-00051663a5c6.pdf;04
15;18-abr-19;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;18;abr;19;./arquivos_soja_manual/9dac8136-406c-11eb-9488-00051663a5c6.pdf;04
17;20-abr-18;100.00;100.00;99.71;100.00;100.00;100.00;99.93;99.94;20;abr;18;./arquivos_soja_manual/9dac8136-406c-11eb-9488-00051663a5c6.pdf;04
