;Regiões do IMEA Centro-Sul;Médio-Norte;Nordeste;Noroeste;Norte;Oeste;Sudeste;Mato Grosso;Centro Sul;Periodo;Dia;Mes;Ano
0;3-jan-20 0,00%;0.39;0.00;0.09;0.00;0.21;0.35;0.23;0.00;3-jan-20;3;jan;20
1;10-jan-20 0,94%;3.08;0.07;1.80;1.63;2.01;1.34;1.79;0.94;10-jan-20;10;jan;20
2;17-jan-20 3,88%;8.04;031/.ja4n4;5.01;6.23;6.49;6.65;5.86;3.88;17-jan-20;17;jan;20
3;24-jan-20 11,23%;20.29;5.36;11.27;16.92;17.60;12.39;14.42;11.23;24-jan-20;24;jan;20
4;10/jan31-jan-20 19,53%;35.63;10.81;24.86;25.36;39.15;22.15;26.67;19.53;10/jan31-jan-20;10/jan31;jan;20
5;7-fev-20 30,78%;60.87;21.11;41.34;40.25;60.79;35.57;44.51;30.78;7-fev-20;7;fev;20
6;14-fev-20 41,23%;71.33;1376/ja.2n8;56.23;59.03;76.33;52.27;58.22;41.23;14-fev-20;14;fev;20
7;21-fev-20 58,31%;87.90;47.50;75.41;76.81;88.75;66.31;73.18;58.31;21-fev-20;21;fev;20
8;28-fev-20 77,45%;95.26;2644/ja.2n9;89.06;84.44;93.63;78.11;84.10;77.45;28-fev-20;28;fev;20
9;6-mar-20 91,40%;99.21;74.70;98.29;89.48;96.40;88.42;91.47;91.40;6-mar-20;6;mar;20
10;13-mar-20 97,24%;100.00;3818/ja.0n6;99.52;98.36;99.35;96.48;96.86;97.24;13-mar-20;13;mar;20
11;20-mar-20 99,42%;100.00;91.83;100.00;99.77;100.00;99.17;98.38;99.42;20-mar-20;20;mar;20
12;27-mar-20 100,00%;100.00;0975/f.e9v3;100.00;100.00;100.00;100.00;99.30;100.00;27-mar-20;27;mar;20
13;3-abr-20 100,00%;100.00;99.02;100.00;100.00;100.00;100.00;99.83;100.00;3-abr-20;3;abr;20
14;10-abr-20 100,00%;100.00;1949/f.e6v7;100.00;100.00;100.00;100.00;99.94;100.00;10-abr-20;10;abr;20
15;17-abr-20 100,00%;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;17-abr-20;17;abr;20
17;19-abr-19 100,00%;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;19-abr-19;19;abr;19
